"","species","common_name","category","f","c","b"
"27","Carassius carassius","Crucian carp","Finfish",47.62712699,48.33163086,44.95400482
"33","Chanos chanos","Milkfish","Finfish",56.62634187,47.69592547,44.14255108
"31","Clarias gariepinus","African sharptooth catfish","Finfish",45.90493216,40.06380446,45.26832713
"55","Crassostrea virginica","Eastern oyster","Bivalve",50.59679163,41.91510253,67.66456026
"21","Ctenopharyngodon idella","Grass carp","Finfish",51.48982788,49.18783384,53.99605427
"29","Cyprinus carpio","Common carp","Finfish",50.19701389,54.64801558,32.05476331
"40","Dicentrarchus labrax","European seabass","Finfish",39.31512198,42.4590189,50
"44","Epinephelus coioides","Orange-spotted grouper","Finfish",43.5897733,37.48172526,39.75117399
"12","Eriocheir sinensis","Chinese mitten crab","Crustacean",42.93059162,47.84155789,51.65159876
"3","Eucheuma denticulatum","Spiny eucheuma","Algae",51.35267728,67.77443923,63.89156086
"9","Gracilaria gracilis","Ogonori","Algae",52.8382388,54.20412195,65.94268339
"20","Hypophthalmichthys molitrix","Silver carp","Finfish",55.44124495,51.91572806,48.99862436
"19","Hypophthalmichthys nobilis","Bighead carp","Finfish",55.61157536,51.90760566,54.71563975
"7","Kappaphycus alvarezii","Elkhorn sea moss","Algae",56.91524398,54.00285784,66.85220355
"26","Labeo catla","Catla","Finfish",51.19168552,43.2969947,47.7099969
"22","Labeo rohita","Roho labeo","Finfish",52.48769373,43.27342048,55.02783318
"37","Larimichthys crocea","Large yellow croaker","Finfish",45.28508965,41.20081743,49.68325792
"38","Lateolabrax japonicus","Japanese seabass","Finfish",50.77532958,45.30415764,40.08544338
"47","Lates calcarifer","Barramundi or Giant seaperch","Finfish",46.97095345,29.2007248,31.09583521
"11","Macrobrachium nipponense","Oriental river prawn","Crustacean",53.88699851,37.83785572,53.73592376
"13","Macrobrachium rosenbergii","Giant river prawn","Crustacean",45.99944785,30.96449409,60.15542166
"57","Magallana gigas","Pacific cupped oyster","Bivalve",50.39288953,45.03485946,53.42209351
"32","Megalobrama amblycephala","Wuchang bream","Finfish",30.17490492,37.49846837,49.25521351
"30","Micropterus salmoides","Largemouth black bass","Finfish",47.43694031,41.33582063,43.78829998
"50","Mizuhopecten yessoensis","Yesso scallop or giant Ezo scallop","Bivalve",58.30392169,47.78964917,64.76190476
"39","Mugil cephalus","Flathead grey mullet","Finfish",56.82020854,43.99125492,33.90852372
"25","Mylopharyngodon piceus","Black carp","Finfish",51.21800519,48.09121632,45.57237794
"48","Mytilus chilensis","Chilean mussel","Bivalve",56.29267705,48.25409505,71.3033954
"56","Mytilus edulis","Blue mussel","Bivalve",50.18728277,46.49432046,60.94367306
"51","Mytilus galloprovincialis","Mediterranean mussel","Bivalve",51.32259977,48.68530992,71.57183428
"41","Oncorhynchus kisutch","Coho salmon","Finfish",42.62521691,40.1214905,47.85715194
"24","Oncorhynchus mykiss","Rainbow trout","Finfish",49.80852536,48.32353267,48.21978943
"23","Oreochromis niloticus","Nile tilapia","Finfish",49.55055604,47.20598545,49.81061755
"28","Pangasianodon hypophthalmus","Striped catfish","Finfish",47.02500155,40.71104599,52.08616576
"17","Penaeus monodon","Giant tiger prawn","Crustacean",43.18923718,33.31625334,33.34027823
"14","Penaeus vannamei","Whiteleg shrimp","Crustacean",50.80024751,27.95737681,56.37993515
"53","Perna canaliculus","New Zealand green-lipped mussel","Bivalve",51.58490862,41.81033949,71.3033954
"8","Porphyra haitanensis","Nori (haitanensis)","Algae",56.89282116,50.67165678,66.0003222
"1","Porphyra yezoensis","Nori (yezoensis)","Algae",61.17750538,64.40601716,66.80720279
"16","Procambarus clarkii","Red swamp crayfish","Crustacean",33.57012292,35.45358929,53.55219111
"4","Pyropia tenera","Nori (tenera)","Algae",56.81003744,56.59961697,66.13130256
"49","Ruditapes philippinarum","Japanese carpet shell","Bivalve",57.88704796,47.00036883,66.63633449
"2","Saccharina japonica","Japanese kelp","Algae",56.18433186,68.36779459,65.51812911
"43","Salmo salar","Atlantic salmon","Finfish",47.61621664,44.94740645,33.9902911
"5","Sargassum fusiforme","Fusiform sargassum","Algae",54.10591003,57.82500705,66.88702673
"46","Sciaenops ocellatus","Red drum","Finfish",47.34633434,29.56012804,32.08010916
"15","Scylla paramamosain","Green mud crab","Crustacean",55.97097495,31.87539176,44.71617156
"18","Scylla serrata","Indo-Pacific swamp crab","Crustacean",45.65269459,30.64707541,31.89528832
"36","Seriola quinqueradiata","Japanese amberjack","Finfish",48.09102329,40.71727614,50.10255265
"52","Sinonovacula constricta","Constricted tagelus","Bivalve",54.36742791,45.28628222,71.3033954
"45","Sparus aurata","Gilthead seabream","Finfish",37.43430851,35.96913604,39.5681647
"54","Tegillarca granosa","Blood cockle","Bivalve",54.4298726,45.03439834,59.15098616
"42","Trachinotus ovatus","Pompano","Finfish",41.89710505,44.28121392,39.33174227
"10","Undaria pinnatifida","Wakame","Algae",50.60120645,47.99890198,66.80315048
